	MSC	Fibroblasts	Endothelial_cells	Keratinocytes	Schwann_cells	Smooth_muscle_cells	Platelets	Monocytes_CD14.CD16.	Monocytes_CD16.CD14.	Macrophage	M1.IFNg.	M2.IL.4.	M.IFNa.	T_cells_.CD4..	T_cells_.CD8..	T_cells_.gamma.delta.	NK_cells	Neutrophils
6235804004_D	0	0	0.02931	0.04015	0	0.00287	0.04161	0.24886	0	0	0	0	0	0	0.10886	0	0.06577	0.46258
6235804004_E	0	0	0.01688	0.01431	0	0	0.0644	0.19974	0	0.01509	0	0	0	0	0.12119	0	0.11546	0.45294
6235804004_F	0	0	0.01505	0.05181	0	0.00488	0.0404	0.19825	0	0	0	0	0	0.01617	0.3165	0	0.01264	0.34429
6235804004_G	0	0	0.00726	0.01635	0	0.00414	0.05771	0.2573	0	0	0	0	0	0	0.13434	0	0.08399	0.43892
6235804004_J	0	0	0.03098	0.02378	0	0	0.15394	0.21706	0	0	0	0	0	0	0.08424	0	0.0537	0.43629
6235804014_A	0	0	0.02026	0.02996	0	0.00754	0.11046	0.17252	0	0	0	0	0	0.00603	0.12253	0	0.03504	0.49565
6235804014_B	0	0	0.02661	0.03307	0	0	0.12158	0.14492	0	0	0	0	0	0	0.15664	0	0.0609	0.45629
6235804014_C	0	0	0.02065	0.02254	0	0.00356	0.09434	0.20717	0	0	0	0	0	0.03262	0.0479	0	0.07811	0.49312
6235804014_E	0	0	0.01732	0.02054	0	0	0.03751	0.2582	0	0	0	0	0	0.03975	0.18185	0	0.04726	0.39757
6235804014_F	0	0	0.02503	0.03287	0	0	0.01545	0.31623	0	0.01735	0	0	0	0	0.09113	0	0.08206	0.41989
6235804014_G	0	0	0.02491	0.03247	0	0	0.06957	0.25296	0	0	0	0	0	0	0.11539	0	0.06098	0.44372
6235804014_H	0	0	0.02497	0.05334	0	0	0.02507	0.31884	0	0	0	0	0	0	0.16971	0	0.03166	0.37642
6235804014_J	0	0	0.02695	0.03142	0	0	0.0453	0.23397	0	0	0	0	0	0	0.20584	0	0.05178	0.40475
6235804014_K	0	0	0.01904	0.02487	0	0.00031	0.09041	0.32717	0	0	0	0	0	0.04791	0.17004	0	0.02818	0.29208
6235804014_L	0	0	0.02255	0.02507	0	0	0.07134	0.23295	0	0	0	0	0	0	0.11665	0	0.07212	0.45932
6235804015_C	0	0	0.02289	0.02919	0	0	0.08159	0.23422	0	0	0	0	0	0.03584	0.14139	0	0.08329	0.37158
6235804015_D	0	0	0.0218	0.02195	0	0	0.05236	0.26753	0	0	0	0	0	0	0.11821	0	0.07844	0.43971
6235804015_E	0	0	0.01912	0.02564	0	0.00521	0.09335	0.09651	0	0.01825	0	0	0	0	0.09233	0	0.0698	0.5798
6235804015_F	0	0	0.02804	0.03062	0	0	0.12841	0.19888	0	0	0	0	0	0	0.06641	0	0.04832	0.49932
6235804015_G	0	0	0.02049	0.02611	0	0.00036	0.0483	0.29336	0	0	0	0	0	0	0.11867	0	0.07693	0.41578
6235804015_H	0	0	0.01362	0.02995	0	0.00242	0.06452	0.16911	0	0	0	0	0	0.05991	0.28053	0	0.06436	0.31558
6235804015_I	0	0	0.01649	0.01904	0	0.00167	0.10987	0.30175	0	0	0	0	0	0.001	0.11124	0.00309	0.07085	0.36499
6235804015_K	0	0	0.0044	0.01991	0.02109	0	0.05752	0.04231	0	0	0.01561	0.00775	0	0.34398	0.16102	0	0.05514	0.27127
6235804017_A	0	0.00152	0.02389	0.03191	0	0	0.06567	0.28155	0	0	0	0	0	0	0.1046	0	0.03819	0.45267
6235804017_D	0	0	0.02104	0.01431	0	0	0.10905	0.17866	0	0	0	0	0	0.02677	0.06498	0	0.0809	0.50428
6235804017_G	0	0	0.02047	0.01774	0.00073	0.00572	0.04873	0.26485	0	0	0	0	0	0.01676	0.12271	0	0.09665	0.40564
6235804017_H	0	0	0.01643	0.01887	0	0.00381	0.13885	0.17315	0	0	0	0	0	0	0.1448	0	0.04827	0.45583
6235804017_I	0	0	0.02078	0.02988	0	2.00E-04	0.09101	0.14832	0	0	0	0	0	0	0.10596	0	0.06171	0.54213
6235804017_J	0	0	0.02015	0.0293	0	0.00158	0.12563	0.18799	0	0	0	0	0	0	0.11919	0	0.0734	0.44275
6235804017_K	0	0	0.02098	0.00569	0	0.00155	0.03032	0.21838	0	0	0	0	0	0.02895	0.06037	0	0.10721	0.52656
6235804017_L	0	0	0.01936	0.02157	0	0	0.09854	0.24116	0	0	0	0	0	0.00791	0.18695	0	0.0891	0.33541
6235821095_D	0	0	0.01918	0.04588	0	0.00091	0.04484	0.19394	0	0	0	0	0	0	0.13186	0	0.09849	0.46491
6235821095_E	0	0	0.02131	0.04426	0	0	0.07989	0.14639	0	0	0	0	0	0	0.23992	0	0.0667	0.40152
6235821095_G	0	0	0.01812	0.043	0	9.00E-04	0.05169	0.13683	0	0	0	0	0	0	0.06864	0	0.11155	0.56928
6235821095_H	0	0	0.01624	0.0258	0	0.00407	0.0856	0.1643	0	0	0	0	0	0	0.17898	0	0.08712	0.43789
6235821095_J	0	0	0.02485	0.04432	0	0.002	0.13384	0.30586	0	0	0	0	0.01102	0	0.06403	0	0.02272	0.39135
6235821095_K	0	0	0.02077	0.00855	0	0.00045	0.01839	0.21321	0	0	0	0	0	0.01851	0.11138	0	0.08668	0.52207
6235821095_L	0	0	0.01284	0.02718	0	0	0.12437	0.25765	0	0	0	0	0	0	0.1415	0	0.07058	0.36588
6235821099_A	0	0	0.01582	0.01701	0	0.00268	0.04308	0.18191	0	0.00211	0	0	0	0.0024	0.11303	0	0.10485	0.51711
6235821099_B	0	0	0.0123	0.04153	0	0	0.0281	0.28134	0	0	0	0	0	0	0.11862	0	0.05395	0.46417
6235821099_C	0	0	0.02001	0.0245	0	0.00156	0.11229	0.17734	0	0	0	0	0	0	0.07212	0	0.11737	0.47482
6235821099_D	0	0	0.01482	0.02455	0	0	0.02472	0.31686	0	0	0	0	0	0	0.13788	0	0.08497	0.3962
6235821099_F	0	0	0.01909	0.0368	0	0.00441	0.05475	0.21757	0	0	0	0	0	0.01679	0.14414	0	0.04043	0.46602
6235821099_G	0	0	0.01348	0.0439	0	0	0.02956	0.22552	0	0	0	0	0	0.09519	0.22127	0	0.03312	0.33796
6235821099_I	0	0	0.01136	0.02793	0	0.00431	0.10354	0.29088	0	0	0	0	0	0	0.15721	0	0.08538	0.31939
6235821099_J	0	0	0.01756	0.02771	0.0064	0	0.13797	0.21169	0	0	0	0	0	0.02641	0.17542	0	0.05405	0.3428
6235821099_K	0	0	0.02409	0.04581	0	0	0.02921	0.2445	0	0	0	0	0	0	0.01729	0	0.0831	0.55601
6235821101_A	0	0	0.00849	0.02483	0	0	0.17598	0.18613	0	0	0	0	0	0	0.10006	0	0.13169	0.37281
6235821101_B	0	0	0.02225	0.02029	0	0.00651	0.07202	0.17302	0	0	0	0	0	0.05245	0.06097	0	0.10775	0.48473
6235821101_E	0	0	0.02406	0.04322	0	0	0.07034	0.27085	0	0	0	0	0	0	0.10836	0	0.04687	0.4363
6235821101_F	0	0	0.02058	0.03614	0	0.00289	0.08381	0.25674	0	0	0	0	0	0	0.12748	0	0.03459	0.43777
6235821101_H	0	0	0.01555	0.03556	0	0	0.11232	0.22882	0	0	0	0	0	0	0.13614	0	0.06225	0.40936
6235821101_I	0	0	0.0235	0.03405	0	0.00242	0.03132	0.23701	0	0.00248	0	0	0	0	0.12597	0	0.07525	0.46799
6235821101_L	0	0	0.01553	0.0306	0	0	0.11157	0.15953	0	0	0	0	0	0.05577	0.21138	0	0.05649	0.35914
6235821102_A	0	0	0.00994	0.02569	0	0	0.04353	0.19688	0	0	0	0	0	0	0.1664	0	0.12747	0.43009
6235821102_B	0	0	0.01329	0.04222	0	0.00677	0.07106	0.24976	0	0	0	0	0	0.01729	0.17477	0	0.03483	0.39002
6235821102_D	0	0	0.02054	0.03117	0	0	0.12587	0.15926	0	0	0	0	0	0	0.11287	0	0.05426	0.49603
6235821102_F	0	0	0.02124	0.03519	0	0.00139	0.07975	0.21894	0	0	0	0	0	0	0.16355	0	0.04987	0.43008
6235821102_G	0	0	0.01227	0.01798	0	0	0.06068	0.22651	0	0	0	0	0	0	0.12276	0	0.08054	0.47927
6235821102_I	0	0.00074	0.02156	0.04336	0	0	0.0274	0.27472	0	0	0	0	0	0	0.09673	0	0.04284	0.49264
6235821102_J	0	0	0.02019	0.02125	0	0	0.06339	0.1907	0	0	0	0	0	0.0126	0.05641	0	0.08781	0.54765
6235821102_K	0	0	0.00679	0.01469	0	0.00208	0.20553	0.14824	0	0	0	0	0	0	0.06758	0	0.11246	0.44263
6235821102_L	0	0	0.01078	0.04205	0	0	0.14287	0.27791	0	0	0	0	0	0	0.09948	0	0.06047	0.36645
