Sample.ID	DEFA4	CD163	PER1
P7_Nov.18.09	327.1706		
P11_Nov.27.09	28728.99		
DED_Nov.4.09	5764.531		
P6_Nov.13.09	13633.68		
P11_Nov.29.09	34892.78		
P12_Nov.26.09	4194.731		
P13_Nov.27.09	3426.188		
DED_Nov.7.09	14892.35		
MA.S.A_Nov.9.09	3235.014		
STS_Nov.14.09	6104.148		
P6_Nov.15.09	8522.682		
HLF.5.3	15291.25		
HLF.6.1	618.2577		
HLF.6.3	723.95		
HLF.7.1	20708.8		
HLF.7.3	15684.67		
HLF.11.1	2247.034		
P9_Nov22	18113.78		
HURH.7D3	15510.81		
HURH.7D7	15918.4		
HURH.6D7	3822.702		
HURH.4D7	7853.296		
P9_Nov24	33047.45		
4481649065_F	515.2		
4481649065_G	9787.2		
4481649065_H	12085.3		
4481649065_I	8872.2		
4481649065_J	4796.8		
4481649092_A	773.8		
4481649092_B	1521.4		
4481649092_C	3222.8		
4674281008_A	934.9		
4674281008_D	132.3		
4674281008_E	9176.2		
4674281008_F	504.7		
4674281008_K	21835.1		
4674281008_L	10529.8		
4674281009_C	1018.4		
4674281009_D	619.6		
4674281009_E	3209.5		
4674281009_F	581		
4674281009_G	4568.4		
4674281009_I	3001.3		
4674281009_L	6082.9		
4674281014_A	1568.3		
4674281014_B	372		
4674281014_C	147.7		
4674281014_D	121		
4674281014_E	208		
4674281014_F	157.2		
4674281014_G	235.3		
4674281014_H	824.5		
4674281014_I	438		
4674281014_J	253.9		
4674281014_K	191.8		
4674281015_B	220.1		
4674281015_C	265.4		
4674281015_D	175.3		
4674281015_E	99.5		
4717421005_K	1484.7		
4717421005_L	1008.4		
4717421050_F	1703.5		
4717421050_G	8059.1		
4717421050_H	6039.1		
4717421050_I	9976.7		
4717421050_J	1598.2		
4717421050_K	579.5		
4717421050_L	469.8		
4717421101_C	832		
4717421101_D	175.2		
4717421101_E	352.3		
4717421101_F	734.5		
4717421101_G	5259.1		
4717421101_H	7918.7		
4717421101_J	96.4		
4717421101_K	106.2		
4717421101_L	88.1		
4950679008_A	267.9		
4950679008_B	238.2		
4950679008_C	620.9		
4950679008_D	717.4		
4950679008_E	383.6		
4950679008_F	386.5		
4950679008_G	822		
4950679008_H	600.5		
4950679008_I	287.2		
4950679008_J	243.7		
4950679008_K	160.4		
4950679008_L	168.3		
4950679034_A	140.1		
4950679034_B	165.1		
4950679034_C	181.6		
4950679034_D	161.2		
4950679034_E	91.8		
4950679034_F	143.6		
4950679034_G	185.5		
4950679034_H	259		
4950679034_I	217.5		
4950679034_J	300.9		
4950679034_K	240.1		
4950679034_L	191.5		
4950679036_A	621.4		
4950679036_B	993.1		
4950679036_C	144.9		
4950679036_D	126.6		
4950679036_E	127.1		
4950679036_F	154.7		
4950679036_G	130.1		
4950679036_H	132.4		
4950679036_I	126.2		
4950679036_J	148.8		
4950679036_K	702.9		
4950679036_L	495.5		
5125398041_D	88.6		
