	104.CEL	105.CEL	109.CEL	115.CEL	121.CEL	123.CEL	127.CEL	82.CEL	94.CEL	95.CEL	96.CEL	97.CEL	C13.CEL	C8.CEL	C9.CEL
LRRN2	3.688808641	3.216877891	3.817440464	3.899990944	4.075969543	4.043357627	3.694431981	3.509597941	3.413417234	3.386649781	3.651401339	3.758128283	3.702628497	3.813753561	4.081797632
SPTBN2	3.381012318	2.685238836	3.662731609	3.59529636	3.463142026	3.143404752	3.733895655	2.746560771	3.015381605	3.19319757	2.665212625	3.316011968	2.801363131	3.402701014	3.923706377
ASIC1	4.274526494	3.827753087	4.166723441	4.487005981	4.399044789	4.656806663	4.264580785	3.664044893	3.725452354	4.091251888	3.640548337	4.439158628	4.161548018	4.559341322	4.494336915
KRT42P	3.021078488	2.590847644	2.838022407	3.19582543	3.062941201	2.714927453	3.020077387	2.498111996	2.646336579	2.584849902	2.375211451	3.134235401	2.794991766	3.179100946	3.167838268
ANG	2.158164558	2.169470253	2.120833068	2.49581147	2.565497202	2.333153203	2.319103187	2.499933706	2.375436297	2.323347735	2.323347735	2.172504498	2.397261734	2.323347735	2.160011609
CSF2RB	7.761233953	7.956412417	7.70752561	7.940242544	7.929027056	9.141639815	8.348468292	8.704268415	6.903347499	9.213486976	7.503806034	8.446361566	8.203986089	7.750892466	6.893547116
PEX11A	3.415217593	3.329961112	3.595406019	3.914383768	3.633350962	3.967650585	3.68793527	3.3321814	3.342661777	3.577493513	3.489902469	3.749375488	3.822572855	3.981437842	3.633350962
PEX11A	2.614269673	2.180204095	2.393713539	2.301757115	2.561823249	2.720814211	2.503284328	2.30130639	2.391015829	2.035990465	2.217694225	2.892906844	2.392840847	3.122307309	2.420733943
ERCC8	3.330672546	3.159273767	3.475572686	3.672662991	3.588358796	3.51669334	3.710636838	3.239588814	3.424520771	3.355175159	3.465461464	3.493068697	3.465461464	3.993309933	3.706027495
MYLPF	3.69407063	3.20230444	3.796634994	3.734803585	3.944813635	3.853188936	4.233959656	3.770020993	3.584870428	3.362647049	3.54738046	4.403272514	3.916331048	4.170035749	4.145720402
GCAT	4.014942388	2.995152465	3.405276485	3.620470483	3.59181173	3.211584846	3.855346719	2.766730719	3.08683674	3.543730177	2.953330311	3.729919837	3.523230707	4.074914437	4.350387455
CELSR3	3.228866992	2.716626844	3.444692758	3.689849042	3.298924488	3.349869684	3.74543716	2.856578894	3.181979515	3.260130707	3.170249498	3.491284082	3.29052685	3.262158637	3.638353998
CAPN5	3.314518556	2.621138826	3.476228012	3.20343647	3.41743406	2.904924108	3.857300816	2.851886682	2.978359844	2.978735812	2.93876374	3.478668575	3.20343647	3.248553115	3.611995145
CDC25C	2.063024043	2.00370963	1.832588396	1.987735969	1.908496646	2.000019035	1.97768747	1.698062249	2.058976124	1.797598192	1.818157709	2.11370106	1.821523956	2.037683271	1.825617061
DDR2	3.554020987	3.240748813	3.454237057	3.418849364	3.59432922	3.520187781	3.456182738	3.132118166	3.325939938	2.985857828	3.340749772	3.760635653	3.65144622	3.670710993	3.639509361
RBBP5	2.894971433	4.0363368	2.824685336	2.823343701	2.618334303	2.950229002	3.082943455	4.823749914	3.585251729	3.030513441	3.514354093	2.872581842	2.705854825	2.468919177	2.918728954
STAT2	4.477367398	4.071495817	4.194918099	4.297776026	4.194918099	4.194918099	4.009602233	4.317988136	3.861268634	4.040381477	4.080662395	4.652105814	4.160819434	4.205453519	4.31587273
PTPN4	4.410304155	4.723542775	4.291863096	4.673549342	4.403448223	4.700327446	3.957054742	4.175562218	4.417921361	4.352821774	4.477655281	3.4632192	5.499775766	4.459114064	5.026389099
CLTB	5.103523625	5.264776778	5.312310633	5.053989594	5.264354162	5.049057215	5.078308231	5.499206002	5.363273907	5.124820381	5.402527441	5.024195602	5.118279057	4.993690346	5.193836555
CD58	5.912087669	6.079181375	4.946861451	6.302109124	5.717611791	6.573951216	5.85057295	6.954603772	5.809037212	6.201383791	5.620502812	5.839761474	4.922920297	4.477311145	4.246036354
QPCT	5.47585695	7.113933899	6.132552196	6.313113023	6.132552196	6.774052018	7.024868814	7.532666449	4.220378478	6.888534191	5.613886555	5.751706852	5.292167655	4.644255764	4.651173822
KHK	3.034041214	2.617904881	2.916350923	2.743948829	3.239830693	2.925319618	3.141368914	2.589049812	2.784905505	2.865617081	2.796842023	3.545213649	2.914739419	3.236863277	3.345455836
ITGB3BP	2.920615413	2.920615413	2.920615413	2.990199491	2.718068717	2.879155982	2.553048813	2.806230358	4.725107298	3.024884231	2.999188552	2.44268443	3.182258145	2.969081602	2.96379177
TNNI1	3.159086693	2.551168217	2.890854818	2.944128611	2.9512594	2.847823375	2.916740533	2.42894869	2.911346016	2.621395974	2.733441107	3.212400101	2.877851037	2.971385477	2.658669442
RBBP6	4.744232467	5.223895446	4.791537211	4.556931821	4.19973316	4.738151851	4.297763369	4.829673971	5.319959373	4.708662287	5.704619904	4.396369058	4.902600712	4.637691434	4.828008486
ADAM8	3.619301247	4.350333083	3.469229757	4.118073977	3.745869928	4.065031645	4.308906677	4.967319954	2.901639269	3.031598475	3.639465548	3.939882693	3.477565232	2.924284324	3.117739165
ADAM8	6.14963968	6.735415687	6.378683389	6.84437894	6.910119571	7.50503451	7.033231938	7.396137804	4.82739618	6.378683389	5.788665694	6.147064416	5.813037338	5.740838611	5.438535186
ZSCAN9	3.523843152	3.169120716	3.11255031	3.625380073	3.629834658	3.544608935	3.34517202	2.914233306	3.474520905	3.396396643	2.928582796	3.412232671	3.396396643	3.49429686	3.442989285
ZNF324	4.280714296	4.306059311	4.356996249	4.506309731	4.380732299	4.36343722	4.379581905	4.360826959	4.080356778	3.873831943	4.356996249	4.375395238	4.16154391	4.63995416	4.874804398
GNG4	3.87430086	3.739630313	4.148170909	3.971848414	4.295529602	3.862080653	4.220160355	4.001969412	3.716300472	3.780452635	3.85359059	4.289889465	3.810848778	4.033688948	4.235524975
SPINK5	3.045155098	2.716611872	3.161838405	3.020077387	3.064679684	3.233878557	3.182149465	2.449287914	2.779032247	2.707800597	3.020077387	3.070512245	2.875256485	3.372638218	3.10328469
DNALI1	2.486863406	2.203702004	2.520765747	2.240136411	2.472645523	2.325125426	2.797563993	2.041881698	2.289600263	2.053366013	2.238651959	2.956650862	2.342998937	2.359155006	2.340403663
SMAD5	1.319289666	1.330256463	1.185240308	1.312867572	1.415473972	1.374744966	1.389082675	1.277587238	1.578398114	1.319289666	1.319289666	1.409884774	1.330256463	1.443328674	1.319289666
SMAD5	2.731284266	2.674350731	2.623968014	2.812699107	2.639009943	2.835534307	2.733752809	2.486620646	2.787713437	2.348387193	2.649176739	2.619723465	2.712947131	2.850170898	2.92602657
FANCC	3.995738081	3.438417287	4.024398415	4.172285147	4.14563195	3.916905327	3.933239588	3.080563384	3.546897272	3.484894969	3.514354093	4.166729844	3.916905327	4.18078651	4.153143841
PLS1	2.676305635	2.19257067	2.690581288	2.719251496	2.688313923	2.899405024	2.602166282	2.24394836	2.888372511	2.659442746	2.433913663	2.763570151	2.688313923	2.932353868	3.085042127
RP2	1.271503714	1.577665437	1.244230993	1.412448392	1.201607515	1.726329287	1.429575323	1.587811917	1.321161318	1.584937771	1.070623774	1.39850966	1.336000041	0.986063809	1.063792352
MAP3K14	4.108954913	3.870382339	3.907964914	3.595809796	4.109242127	4.012951888	3.778391111	3.767212109	3.607386934	3.604846119	4.317750012	3.968148419	3.982231913	4.165615868	4.241738637
MAFF	4.378819014	3.85669762	4.201380198	4.184132921	4.201380198	4.225503219	4.345398683	4.012474385	4.08229106	4.029565132	3.664387215	5.079279251	4.040202331	4.450508962	4.341368451
PSPH	1.386221411	1.493411321	1.542853048	1.384523071	1.489006379	1.501596792	1.489006379	1.566883469	1.796760658	1.501596792	1.259370932	1.498654836	1.51324223	1.340431196	1.384458573
AP1S1	3.632473037	3.290090757	3.533097787	3.533097787	3.702295163	3.533097787	3.946172517	3.302563219	3.523068783	3.30238794	3.514354093	4.006146335	3.310506416	3.544804313	3.806194196
AP1S1	3.888455174	4.046969241	3.750849267	3.996571972	3.93330766	3.780804716	3.93772044	3.84493959	3.777810892	3.944020106	3.831863709	3.877454218	3.590012176	4.119347908	3.877454218
ATP7A	5.482224549	6.485300179	5.868360853	4.575467291	5.068037364	4.735389488	6.10055109	6.996827109	4.466808629	5.282890734	4.425867807	5.142619932	5.264874899	5.163901246	5.528037555
ATP7A	2.272114013	2.178860203	2.2216659	2.254615977	2.323152229	2.771076603	2.429408847	2.420646634	1.961059355	2.156483927	2.219315488	2.083992932	2.314055228	2.254615977	2.038491304
CA9	3.891386112	3.588553499	3.949375765	3.954902789	3.839982054	4.091171039	4.1516248	4.204749775	3.442262302	3.876409471	3.738793475	4.207552221	3.954902789	4.267745509	4.14492724
CLEC3B	2.618193804	2.994304377	2.100814257	2.522441682	2.626324433	2.522441682	2.680781376	2.992903098	2.268487604	2.627549079	2.618193804	2.799440577	2.593090578	2.727642673	2.618193804
GLI3	4.68098526	3.992587302	4.657448233	4.791120469	4.977468759	4.724487946	4.988118427	3.734215968	3.987310237	3.970326234	3.926624484	4.892018807	4.557817839	5.039742987	5.124801702
PCMT1	5.902075229	6.382206657	5.037696408	6.034781059	5.665424776	5.33194244	5.646735893	6.46517687	5.745474217	6.696063048	5.569709714	5.668236437	5.196844422	4.395969778	3.83421063
PLD1	3.068480756	2.935746835	3.065417305	3.125114544	3.401563173	3.220581442	3.065417305	2.691409898	2.32451536	2.54685005	2.893461664	3.072612841	2.886486132	3.484100492	3.074639903
NMB	4.899952205	4.552093627	4.784110286	4.693948681	4.781445103	4.60441032	5.19439647	4.281625703	4.659288331	4.290241266	4.595454864	5.167694535	4.91406906	5.608514836	5.115192606
RELB	4.659118094	4.519352318	4.959386653	4.273841801	4.739974312	4.693948681	4.88713895	5.467839234	4.205808528	4.28850636	5.0995714	5.096687972	4.490397508	4.728031589	4.947204915
ANOS1	2.797855742	1.811664794	2.557778287	2.834682371	2.44016314	3.097169579	2.476314502	2.34792138	2.271062422	2.500967006	2.367642368	2.355095635	1.963839704	2.486494663	2.159147901
IL6	2.574543509	2.205060256	2.587914698	2.396483987	2.46349229	2.353691965	2.445326625	2.157712344	2.423485269	2.318574837	2.037369595	2.36618298	2.132351658	2.459188478	2.523366875
ALDH1L1	5.287394507	4.907067386	5.236343935	5.098449892	5.038575364	5.133379758	5.243514104	5.007294974	4.992530648	5.188112549	5.067398816	5.566589205	5.159671706	5.271212127	5.61635524
ACVR1B	4.039807329	5.214107522	4.25437052	4.28300846	4.171123332	4.285431431	4.897635855	4.793320753	4.031313269	4.461714135	4.084328663	4.330938523	3.382324399	4.155847891	4.022151914
TGFBRAP1	3.638909577	3.608847691	3.678467914	3.499550225	3.679979371	3.608315494	3.392955583	3.358253746	3.342661777	3.089696701	3.674866404	3.590883667	3.608315494	3.732774384	3.640053713
BRMS1	3.796105398	3.090199072	3.704170762	3.983758174	4.032454371	3.813247029	4.041479407	3.445131046	3.319074819	3.219185076	3.440973175	4.089458283	3.575074372	3.692731727	3.941659451
ACAP1	5.524262723	5.740848542	5.873805246	5.484736337	5.628112316	5.134385266	5.795570855	5.827240864	4.96973139	5.35563331	5.383074378	5.805215071	4.921110463	4.984662408	5.478343516
ACAP1	6.57350445	7.412824786	7.065684305	6.418135086	6.688749133	5.248613715	6.888658706	7.262584759	6.334019968	6.474267268	7.002980012	6.787511111	5.966122052	5.562307639	6.067168368
STK17B	3.943564257	4.087526616	3.215669267	4.186493152	3.899066515	3.887014361	4.029176619	4.816045624	4.583117298	4.635378962	3.889426999	3.481940723	3.750657648	3.188564952	3.479541401
RNF2	1.973617181	2.19257067	1.94556441	2.172504498	2.128635183	2.20722145	2.170130792	2.18573044	1.806479164	2.429560382	1.93212823	2.186102058	2.07482475	2.147131941	1.937462636
APOH	2.943766596	2.593649704	2.768429073	2.751527564	2.375282968	2.762389522	2.913599642	2.674304649	2.588670597	2.628235794	2.636699158	3.090819993	2.845009024	3.070990067	3.017739023
TIMM8A	2.334320358	1.849138658	2.189446457	2.370285271	2.249935067	2.229992482	1.924908343	1.989476788	2.20411598	2.024359695	2.058982839	2.288821707	2.276154328	2.184953422	2.160011609
POLR3F	1.746899652	1.529311684	1.485874127	1.535154739	1.284371601	1.574661239	1.566038936	1.657661867	1.853300101	1.447799824	1.707146468	1.562153798	1.723551113	1.67462011	1.560891186
GALK2	3.004843944	2.606898233	3.457018268	3.004843944	3.004843944	2.29073132	3.148888828	2.464808741	3.648736822	2.682155044	2.832122996	3.372647839	3.004843944	2.795629707	3.167306356
HCAR3	6.455479044	3.44297584	6.345043869	5.599453576	5.680194811	7.957434889	6.734496254	7.348001373	2.808784755	6.435719727	6.349987273	7.03436683	6.052072591	7.296162649	6.258817679
HGD	2.599713781	2.453873276	2.446387136	2.307652821	2.566697461	2.476314502	2.366015439	2.476314502	2.396869789	2.653673543	2.388011226	2.694887512	2.860411799	2.129115965	2.476314502
EHHADH	1.474224052	1.254005693	1.513590015	1.610310252	1.609667574	1.449344057	1.787797592	1.306699253	1.464886142	1.44500867	1.382749814	1.46873367	1.46873367	1.574230183	1.46873367
DEPDC5	4.584442518	4.343427895	4.573046769	4.426018597	4.285932721	4.224373242	4.844275502	4.25154765	4.476613506	3.915707562	4.326663064	4.971609969	4.60404298	4.785315247	4.860797785
SURF2	5.808308139	5.015680964	5.138226654	5.349297931	5.255464827	4.762681552	5.542027408	4.839942548	5.217952529	4.815030113	5.102704276	5.813426349	5.287333922	5.417925144	5.585523184
ESR1	2.29073132	1.880808042	2.172806806	2.269421481	2.176038484	2.434553335	2.180790464	1.919487858	2.554646861	2.153172475	1.99419859	2.275647079	2.374156672	2.637146045	2.476314502
PDGFRL	2.240136411	2.073955658	2.479058774	2.240136411	2.430972682	2.292219086	2.440495293	2.215011896	2.219426717	2.14963371	2.218765222	2.57316981	2.199651512	2.354293012	2.922520001
IL1RAP	4.892371637	5.419659966	4.445275952	5.083494697	5.162293226	4.750847024	4.625200819	5.011874279	4.386036954	4.687200765	4.549400236	5.289540241	4.384438673	4.622632319	4.300636754
RBMS2	3.115082161	3.149077012	3.24153866	3.311679472	3.539135059	3.044704477	3.285839139	3.163727153	3.04413284	2.852577743	3.014513931	3.583304092	3.331519983	3.519593716	3.516853517
COCH	2.317008384	2.15157755	2.240136411	2.860153209	2.23245227	1.964166706	1.987735969	1.826080264	3.447231005	2.336977163	1.990826462	2.157703147	2.419450322	2.240603406	2.398910543
RPH3A	3.944813635	3.3906616	4.350130946	3.944813635	3.944813635	4.756373532	4.096403133	4.10725568	3.683636288	3.78306023	3.657511944	4.026122082	3.893252658	4.045702575	4.106699587
EPM2A	2.912825776	2.812856851	2.873638717	2.967212359	3.034879749	3.442903116	2.870504046	2.56454109	2.78639457	2.935545623	2.774494603	3.094242973	2.903207316	2.838524389	3.021555818
PAFAH2	3.738676258	3.358069234	4.055519818	3.621397778	3.6109926	3.716316981	4.092321201	3.728127354	3.840483449	3.728127354	4.089108944	3.526307922	4.310107179	4.061555611	4.232169808
PAFAH2	3.058208817	3.071878921	3.086273682	2.817019161	3.098924087	2.856905341	3.058208817	3.058208817	2.948638469	2.880839065	3.010586022	3.06644468	3.107411265	2.861466612	3.112752919
SLC16A4	1.397782985	1.329221313	1.329221313	1.329221313	1.385082377	1.614868398	1.14248602	1.217838346	1.259534858	1.349131162	1.267832766	1.378651281	1.312635759	1.567077872	1.324976765
KIF20B	2.974338152	2.702518764	3.011232794	3.313662652	3.163069178	3.1518858	2.700782553	2.701723103	3.439683126	2.910478983	2.859336906	3.02472087	3.429636473	3.019250376	3.023570345
SOD3	4.687239321	3.954600608	4.817801196	4.672138248	4.63156113	5.216850945	4.583674613	3.921235336	4.031313269	4.215263867	4.191518287	4.901877297	4.67184603	5.010842922	4.678695842
FCN1	8.725056572	9.014391974	8.928085342	8.231208567	9.591289161	9.01277647	8.887605081	9.002399118	6.625015615	9.456336159	9.698752928	7.733541859	7.889100492	7.900069656	7.587521628
TRMT2B	4.784886486	4.929328621	5.01688284	4.662162639	4.54214206	4.23148743	4.730968108	4.770096386	4.536606545	4.766738663	5.369160633	4.75372743	4.957241302	5.158428959	5.085497631
AREG	1.704145789	1.640291699	1.640291699	1.640291699	1.627575785	1.724105752	1.696402875	1.640291699	1.590635089	1.556326326	1.85020014	1.683656066	1.47489761	1.863131868	1.808486923
GPSM2	2.658967293	2.499438653	2.786746684	2.699908419	2.841066319	2.48648358	2.835907262	2.407885658	3.094010668	2.756474401	2.730894426	2.757589602	2.36001596	2.825299553	2.740236875
TYMP	5.256756704	5.219301317	5.394329044	4.440895559	4.851311473	4.445092649	5.271586267	6.43004215	5.537837379	5.755148498	6.216369045	4.659488987	4.863805516	5.075255809	5.181335488
CXCL13	1.744518386	1.900638482	1.907400531	1.925722307	1.70557093	1.930985651	1.817566079	1.650166036	1.846377849	1.936924654	1.85020014	1.907400531	1.79548248	2.225770275	1.883089438
SLC13A3	4.45260366	3.91318305	4.445275952	4.283331213	4.613415349	4.658896157	4.303633129	3.893263827	3.983526219	4.204616406	4.126759758	4.398914737	4.378313276	4.828359179	4.5354412
SLC13A3	4.054756466	3.584332412	3.748802023	4.285335907	4.382137973	4.485961489	4.059061994	3.466197504	3.465570251	4.054756466	3.325500755	4.576129863	4.005718545	4.57848251	4.756344161
CARMIL2	4.937182802	4.424442523	5.225492936	5.234448671	5.261427243	4.817853149	5.144614496	4.258198965	4.837358392	4.662653389	4.828733592	4.87819453	4.487544017	4.937182802	5.132009008
PEX13	2.36059255	2.61306789	2.401536922	2.371502458	2.491541681	2.499933706	2.49771797	2.547399283	2.745270085	2.499933706	2.206221533	2.243150581	2.563338702	2.567889351	2.499933706
NOTCH4	4.735389488	4.547905699	4.873143157	4.750655301	4.9245538	4.735389488	4.945701626	4.646499499	4.230572529	4.617180205	4.507617046	4.761251729	4.543887762	5.010842922	4.784183156
DOP1B	2.297365371	3.817742983	2.628888429	2.552749299	2.482366955	2.779004409	2.370423706	3.943566174	2.579658533	2.599433061	2.988211554	2.38302684	2.710893658	2.359462911	2.476314502
CEP290	2.071526469	1.635985504	1.592455598	1.559522854	1.697032273	1.79491432	1.860648016	1.298857575	1.760441946	1.656396951	1.581384051	1.587811917	1.707274902	1.976775174	1.658072453
PER2	2.528096605	3.165678172	2.29949845	2.528771769	2.41602651	2.530277693	2.182808006	3.258039378	2.424202541	2.848002739	2.426052705	2.191965042	2.746387007	2.530277693	2.415066952
ZNF174	3.342661777	3.340961611	3.381401285	3.439540812	3.304203054	3.036817148	3.591082652	3.263003189	3.264060483	3.272868769	3.588941974	3.517923411	3.310506416	3.237972747	3.64512216
PBX1	2.151502945	2.406390355	2.146487031	2.173167793	2.324020434	2.140169004	2.234153688	2.151502945	1.806321036	2.365683346	2.09661786	2.230141338	2.048587332	2.238510325	2.272816972
TCF7	3.591562786	4.213748029	4.001386628	3.812382034	3.944813635	3.46132127	3.776919687	3.32645532	3.156024102	3.647880624	4.498317749	3.557621533	4.360539737	3.948734736	4.273157611
TCF7	6.396090121	7.938886406	7.963672153	6.541122506	6.551431636	5.45241522	6.584352052	6.555954529	6.455236945	6.78842107	8.270341725	6.859980443	7.311423836	6.982508134	7.376366198
ZBTB39	3.610587988	3.169949741	3.74878663	3.636860818	3.662574238	3.591336307	3.587684218	2.979607	3.575787615	3.512749738	3.305759618	3.704436213	3.528504056	3.780883998	3.962693606
AMPH	3.097902384	2.44567987	2.967692941	2.934123899	3.137898883	3.459492693	3.148367878	3.511445126	2.779071624	2.825158323	2.640761055	2.851707311	2.869836536	3.145536546	2.998540166
INHBB	2.618994298	2.261402072	3.074395787	3.049048826	3.565158693	2.814029312	3.77672613	2.930261351	2.358559099	2.476314502	2.52466533	2.985092068	2.506415193	2.574899887	3.085407382
NR3C2	1.596993256	1.594714934	1.838869048	1.844522476	1.709602306	1.894703121	1.760863521	1.657661867	1.727075936	1.779569093	1.784845511	2.028381565	2.05545558	2.197823076	2.436611256
ACYP1	2.381041964	1.859967182	2.16320035	2.224055252	1.987866854	2.054549969	2.141889208	1.808742221	2.685904939	2.142519028	2.254466241	2.26761692	2.381041964	1.976775174	2.026399252
PGC	3.840483449	3.038151988	3.840483449	3.571903211	3.967526664	3.622142562	4.220778407	3.427826098	3.337228945	3.206642532	3.532926182	4.43315542	4.156087734	4.358302065	4.499292884
KCNH2	3.189783266	2.738943875	2.965050408	2.895554656	2.592027173	2.72558542	3.091139051	2.718925725	3.091946229	2.762838619	2.729375818	3.342340018	2.961939211	3.048439687	3.543724625
BCL10	4.359626464	5.064243473	4.313031599	4.302811525	4.505687437	5.396647018	4.564495672	5.600778993	4.57043078	5.898824295	4.612783692	4.466194616	4.861025489	4.323420383	4.241738637
CD3EAP	4.110708897	3.522757287	3.847371767	4.984704512	4.781656728	5.364716549	3.69976403	3.651374175	4.031313269	4.215353389	3.093094581	4.223494226	4.453767709	5.225310538	4.66516399
SPEG	3.616038751	2.995152465	3.667277408	3.691174703	3.665177815	3.61522184	3.48637901	2.951843025	2.703711569	3.052586437	3.07568853	3.649263147	3.405608753	3.567118417	3.896393271
LIF	4.555851162	4.218183442	4.360132829	4.505063904	4.721594212	4.528190192	4.898710309	4.302151373	3.786879574	4.357027226	3.940269752	4.982763646	4.574065608	4.80398755	5.132009008
POU2AF1	5.734423342	7.944171241	6.126260007	6.199714246	5.397489854	4.386861302	4.446419635	5.34736853	9.325638142	6.65545951	7.226666949	5.699973703	6.995703447	5.254542075	5.359087555
ADD2	2.989610132	2.937321597	3.041034902	3.020077387	3.261327845	3.306425201	3.291884544	3.220839384	3.30061418	3.283490935	3.594210835	3.418710186	3.466195987	3.65013068	3.67996784
LCP2	4.342194019	4.733726453	3.668741077	4.008579194	3.639700781	4.295975709	4.240237719	5.876264772	3.682521329	5.513796788	5.009261742	4.233854982	5.08200853	4.187032619	4.019618064
LCP2	6.543271111	7.053213656	6.258267711	6.213850694	6.398201311	6.673068302	6.757691877	7.153322463	5.558301567	7.428201744	7.158809977	6.718055521	6.738497558	6.109050771	6.803657195
CDK20	4.353468558	3.951526896	4.291587002	4.209585441	4.19495477	4.179691456	4.179691456	3.767884253	4.043015382	4.202970065	4.054399042	4.761022003	4.043015382	4.459731243	4.497715599
PRH2	5.001512231	3.913731094	4.999920236	5.064209363	5.070368438	4.919712683	5.194201367	4.195220653	4.089579598	3.917427552	4.391295794	4.702638406	4.467341908	4.713814049	4.828886012
PITRM1	4.461891336	4.92505276	4.442236713	4.058122612	4.034771877	3.617736712	4.060571236	4.884786011	4.724285392	4.103056785	5.27095693	4.011855478	4.383053953	4.267745509	4.514555762
GTPBP1	5.205172518	4.422674639	5.219866633	4.943190205	5.370636189	4.735389488	5.119060119	4.439251719	4.514219285	4.552335728	4.519493723	5.036226905	4.724451352	5.009185138	5.008971857
PRDM2	4.581207757	4.492579744	4.693948681	4.226058694	4.272171631	4.780071305	4.91073318	4.862923878	4.670279726	4.65532017	4.87837773	4.769912294	4.756252438	4.916036298	4.693948681
GAD1	1.571266831	1.536417585	1.571266831	1.620265488	1.77325066	1.859442836	1.645177801	1.623243324	1.49163121	1.620265488	1.551505151	1.735012254	1.536417585	1.710992332	1.749885256
GLRB	2.604259186	1.846562043	2.38615593	2.353295952	2.443579482	2.631665786	2.618937494	2.073783024	2.310866949	2.448698967	2.18137512	2.590880658	2.329337362	2.164025717	2.599054547
GLRB	1.438527646	1.440942536	1.572052108	1.375312076	1.528297248	1.409451436	1.578398114	1.388462755	1.422341318	1.457047788	1.366420795	1.59733579	1.60598767	1.622277603	1.393873386
PIGA	1.527581302	1.423251015	1.39225596	1.451833136	1.72764641	1.635089591	1.495452	1.306298784	1.840249171	1.667984154	1.417263284	1.389605414	1.49488316	1.495452	1.518847305
LRP8	1.603745025	1.481998057	1.525967226	1.423964311	1.62768095	1.547274228	1.692683652	1.470521846	1.669481846	1.488866717	1.603745025	1.603745025	1.487315194	1.607293291	1.854797713
FKTN	2.1109692	1.945064557	1.987735969	1.936055111	2.064943661	1.957199777	2.151893364	2.026717282	2.04580466	1.935876339	1.974183015	2.172504498	2.042247544	1.976775174	1.987735969
URB2	3.198686514	3.088427617	3.195113306	3.767018961	3.667660707	4.527374299	3.177065148	3.118353248	3.571877271	3.355175159	3.55065407	3.247092615	3.181475694	3.695428846	3.290846732
FYB1	5.01489593	6.726290305	5.100905006	5.04608213	5.455136486	5.339849879	5.519189106	7.212395555	3.652847839	5.87278421	6.09936143	5.273933747	5.18872185	4.684804277	5.128627103
TFAP2C	3.297780569	2.822938572	3.24153866	3.533097787	3.264410847	3.140231702	3.395985848	2.992903098	3.034430976	3.125912942	3.082593714	3.301673755	3.212379489	3.497768442	3.224580414
TFAP2C	2.957491088	2.079314205	2.494636858	2.524205456	2.588080262	2.50049017	2.524205456	2.160011609	2.394453796	2.413687442	2.170856379	2.713322065	2.449915073	3.25414823	2.914522199
CDC14A	1.146834039	1.228510537	1.228510537	1.228510537	1.228510537	1.454006573	1.149061852	1.152756431	1.15143026	1.216415934	1.139294157	1.251434714	1.337238929	1.470928328	1.386146098
BMP2	1.477964984	1.303185614	1.495114764	1.585395155	1.596601093	1.492088081	1.703644415	1.228569739	1.357638355	1.378202673	1.213969234	1.402989877	1.530258223	1.937842167	1.774447898
BMP2	2.362749262	1.957103164	2.504423477	2.44297394	2.639034166	2.302052535	2.680370505	2.247797116	2.348668123	2.367695908	2.106256382	2.688313923	2.57924501	2.749298402	2.788567235
IL2RB	5.260534681	5.768572244	5.639233562	5.527700241	5.187135257	5.954826602	5.133215156	4.928857979	5.771656909	5.618815393	6.319632305	5.465225468	6.826323268	6.248594589	6.789908048
HNRNPA2B1	6.309972284	7.288602484	6.309972284	6.309972284	5.724281848	5.374061799	5.993564971	7.298573725	8.043680591	7.749190993	7.321102171	6.073834915	6.224458861	5.197150056	5.502037903
BAIAP2	4.087917913	3.657088905	3.814672909	3.925450448	3.735239531	3.944612858	4.308779607	3.889649123	3.7649877	3.889649123	3.514354093	4.175562218	3.753856595	4.147868041	4.462612487
BAIAP2	4.431097691	3.767500634	4.393817234	4.244399274	4.379319014	4.207982558	4.445275952	3.612340787	4.083028671	3.763682883	3.877657041	4.735150119	4.135443271	4.32310068	4.695391368
CKMT2	3.626539799	3.372647839	3.404403942	3.35823891	3.416922367	3.251940805	3.455593953	3.479720773	3.298413272	3.274978823	2.927279622	3.756828577	3.587043556	4.0017959	3.699790056
RBL1	1.397782985	1.389351301	1.500922505	1.340322773	1.489955707	1.569786967	1.483395347	1.42630663	1.489955707	1.401063146	1.696142778	1.489955707	1.414938649	1.471175714	1.670786227
CD79B	5.896147156	7.215113122	7.092446979	6.528428856	5.768226494	4.735389488	4.704094993	5.367523627	6.535837916	5.651112986	7.276399333	4.854277249	5.804074313	5.034097792	5.043991224
BTN2A2	4.588634275	4.473940512	4.782389027	4.728047534	4.608987015	5.077376239	4.36019931	4.259539282	4.784196246	4.88074506	4.998636675	4.248854135	4.872136201	4.785893095	4.987650922
BTN2A2	1.778136339	1.694457242	1.899471571	1.877432406	1.877143919	1.955902412	1.748476141	1.583492741	1.861088364	1.772645957	1.702856603	1.739758743	1.746594714	1.722254648	2.026399252
SNRNP35	4.880423582	5.436837507	5.016893066	4.775828535	4.762196498	5.012799274	4.57681185	5.7798896	4.700007372	5.25748619	4.932613052	4.880423582	4.253679503	4.661167612	4.740518398
OGG1	2.446377125	1.948524648	2.224027103	2.43326451	2.480983194	1.930985651	2.476314502	2.182715866	2.045427087	1.685828654	2.217694225	2.615547079	2.266608299	2.358426975	2.337871747
IGFBP1	1.397782985	1.310061865	1.560245932	1.351819786	1.499917073	1.417505365	1.568065263	1.296738198	1.335704732	1.317478836	1.471517568	1.467512188	1.39225596	1.626809342	1.339975089
